"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Sub-type","Series"
"Conference Paper","Reddy VR,Deshpande P,Pal A","Simultaneous Measurement and Correlation of PPG Signals Taken from Two Different Body Parts for Enhanced Biometric Security via Two-Level Authentication","","2017","","","32–37","Association for Computing Machinery","New York, NY, USA","Proceedings of the 1st ACM Workshop on the Internet of Safe Things","Delft, Netherlands","2017","9781450355452","","https://doi.org/10.1145/3137003.3137004;http://dx.doi.org/10.1145/3137003.3137004","10.1145/3137003.3137004","In this paper we present a novel, multi-mode physiological photoplethysmogram (PPG) signal based biometric security system to be deployed in conjunction with existing face and finger recognition systems for enhanced security. We propose a two-level authentication system and use two PPG signals collected through face and finger of the subject for cross-correlation. PPG signals are generated due to involuntary body processes and therefore cannot be mimicked. Conventional face and finger print recognition is performed as the first-level security clearance. However, both these can be breached by wearing 3D printed finger tips or masking the face by undergoing surgery or 3D printed wearable face masks. Therefore, a second level security based on involuntary PPG signals is employed for enhanced security. This simultaneous measurement of these heart signals and their correlation is used as a biometric criterion for second level authentication and corresponding results are presented in this paper.","Multi-mode biometric, Person authentication via dual heart signal measurements, two level authentication, Enhanced security, Heart signal waveforms or blood flow waveforms correlation, Simultaneous measurement of HR waveforms at two separate body points / parts, Two sources for detecting Heart Rate (HR)","","","SafeThings'17"
"Conference Paper","Meng L,Schaffer S","A Reporting Assistant for Railway Security Staff","","2020","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2nd Conference on Conversational User Interfaces","Bilbao, Spain","2020","9781450375443","","https://doi.org/10.1145/3405755.3406164;http://dx.doi.org/10.1145/3405755.3406164","10.1145/3405755.3406164","In this paper, we introduce RARSS, a reporting assistant for railway security staff. RARSS is a demonstration application with a multi-modal interface based on the Mobile Multimodal Interaction and Rendering (MMIR) framework. The system should support the security staff at railway premises (stations, trains, etc.) in Germany and inform about security relevant information about the travel of football fans or a group of people on their way to a major event. In the application we leverage multi keyword spotting (KWS) for detecting of the actual context and a grammar with specific voice commands to improve the semantic interpretation. The results of friendly user testing showed that the multimodal conversational interface was positively rated according the simplicity and the efficiency to make security reports by the security staff.","conversational interface, mobile multimodal, chatbot","","","CUI '20"
"Conference Paper","Bennaceur A,Bandara AK,Jackson M,Liu W,Montrieux L,Tun TT,Yu Y,Nuseibeh B","Requirements-Driven Mediation for Collaborative Security","","2014","","","37–42","Association for Computing Machinery","New York, NY, USA","Proceedings of the 9th International Symposium on Software Engineering for Adaptive and Self-Managing Systems","Hyderabad, India","2014","9781450328647","","https://doi.org/10.1145/2593929.2593938;http://dx.doi.org/10.1145/2593929.2593938","10.1145/2593929.2593938","Security is concerned with the protection of assets from intentional harm. Secure systems provide capabilities that enable such protection to satisfy some security requirements. In a world increasingly populated with mobile and ubiquitous computing technology, the scope and boundary of security systems can be uncertain and can change. A single functional component, or even multiple components individually, are often insufficient to satisfy complex security requirements on their own. Adaptive security aims to enable systems to vary their protection in the face of changes in their operational environment. Collaborative security, which we propose in this paper, aims to exploit the selection and deployment of multiple, potentially heterogeneous, software-intensive components to collaborate in order to meet security requirements in the face of changes in the environment, changes in assets under protection and their values, and the discovery of new threats and vulnerabilities. However, the components that need to collaborate may not have been designed and implemented to interact with one another collaboratively. To address this, we propose a novel framework for collaborative security that combines adaptive security, collaborative adaptation and an explicit representation of the capabilities of the software components that may be needed in order to achieve collaborative security. We elaborate on each of these framework elements, focusing in particular on the challenges and opportunities afforded by (1) the ability to capture, represent, and reason about the capabilities of different software components and their operational context, and (2) the ability of components to be selected and mediated at runtime in order to satisfy the security requirements. We illustrate our vision through a collaborative robotic implementation, and suggest some areas for future work.","collaborative adaptation, Security requirements, mediation","","","SEAMS 2014"
"Journal Article","Inoue H,Abe T,Ishizaka K,Sakai J,Edahiro M","Dynamic Security Domain Scaling on Embedded Symmetric Multiprocessors","ACM Trans. Des. Autom. Electron. Syst.","2009","14","2","","Association for Computing Machinery","New York, NY, USA","","","2009-04","","1084-4309","https://doi.org/10.1145/1497561.1497567;http://dx.doi.org/10.1145/1497561.1497567","10.1145/1497561.1497567","We propose a method for dynamic security-domain scaling on SMPs that offers both highly scalable performance and high security for future high-end embedded systems. Its most important feature is its highly efficient use of processor resources, accomplished by dynamically changing the number of processors within a security-domain (i.e., dynamically yielding processors to other security-domains) in response to application load requirements. Two new technologies make this scaling possible without any virtualization software: (1) self-transition management and (2) unified virtual address mapping. Evaluations show that this domain control provides highly scalable performance and incurs almost no performance overhead in security-domains. The increase in OSs in binary code size is less than 1.5%, and the time required for individual state transitions is on the order of a single millisecond. This scaling is the first in the world to make possible the dynamic changing of the number of processors within a security-domain on an ARM SMP.","SMP, dynamic security-domain scaling, AMP","","",""
"Conference Paper","Bailey C,Montrieux L,de Lemos R,Yu Y,Wermelinger M","Run-Time Generation, Transformation, and Verification of Access Control Models for Self-Protection","","2014","","","135–144","Association for Computing Machinery","New York, NY, USA","Proceedings of the 9th International Symposium on Software Engineering for Adaptive and Self-Managing Systems","Hyderabad, India","2014","9781450328647","","https://doi.org/10.1145/2593929.2593945;http://dx.doi.org/10.1145/2593929.2593945","10.1145/2593929.2593945","Self-adaptive access control, in which self-* properties are applied to protecting systems, is a promising solution for the handling of malicious user behaviour in complex infrastructures. A major challenge in self-adaptive access control is ensuring that chosen adaptations are valid, and produce a satisfiable model of access. The contribution of this paper is the generation, transformation and verification of Role Based Access Control (RBAC) models at run-time, as a means for providing assurances that the adaptations to be deployed are valid. The goal is to protect the system against insider threats by adapting at run-time the access control policies associated with system resources, and access rights assigned to users. Depending on the type of attack, and based on the models from the target system and its environment, the adapted access control models need to be evaluated against the RBAC metamodel, and the adaptation constraints related to the application. The feasibility of the proposed approach has been demonstrated in the context of a fully working prototype using malicious scenarios inspired by a well documented case of insider attack.","rbac, self-adaptation, model verification, adaptive security","","","SEAMS 2014"
"Conference Paper","Mondal S,Sural S,Atluri V","Towards Formal Security Analysis of GTRBAC Using Timed Automata","","2009","","","33–42","Association for Computing Machinery","New York, NY, USA","Proceedings of the 14th ACM Symposium on Access Control Models and Technologies","Stresa, Italy","2009","9781605585376","","https://doi.org/10.1145/1542207.1542214;http://dx.doi.org/10.1145/1542207.1542214","10.1145/1542207.1542214","An access control system is often viewed as a state transition system. Given a set of access control policies, a general safety requirement in such a system is to determine whether a desirable property is satisfied in all the reachable states. Such an analysis calls for formal verification. While formal analysis on traditional RBAC has been done to some extent, the extensions of RBAC lack such an analysis. In this paper, we propose a formal technique to perform security analysis on the Generalized Temporal RBAC (GTRBAC) model which can be used to express a wide range of temporal constraints on different RBAC components like role, user and permission. In the proposed approach, at first the GTRBAC system is mapped to a state transition system built using timed automata. Characteristics of each role, user and permission are captured with the help of timed automata. A single global clock is used to express the various temporal constraints supported in a GTRBAC model. Next, a set of safety and liveness properties is specified using computation tree logic (CTL). Model checking based formal verification is then done to verify the properties against the model to determine if the system is secure with respect to a given set of access control policies. Both time and space analysis has been done for studying the performance of the approach under different configurations.","model checking, security analysis, ctl, GTRBAC, timed automata","","","SACMAT '09"
"Conference Paper","Zoubi OA,Awad M","Toward a Continuous Authentication System Using a Biologically Inspired Machine Learning Approach: A Case Study","","2019","","","1362–1364","Association for Computing Machinery","New York, NY, USA","Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing","Limassol, Cyprus","2019","9781450359337","","https://doi.org/10.1145/3297280.3297588;http://dx.doi.org/10.1145/3297280.3297588","10.1145/3297280.3297588","Smartphones have recently seen massive growth in usage and become a repository for many types of personal information. The privacy and security are primary concerns for their usage, where there is a need to provide seamless and continuous authentication systems(CASs) for smartphones. We introduce in this work a proof-of-concept design and a case study for using a biologically-inspired and hardware-friendly CAS. Our proposed design adopts a hybrid Liquid State Machine (LSM) approach to perform automatic features extraction and multi-modal fusion scheme for users' interaction. Our work establishes the design concepts for future on-chip and explains why LSM can be a promising approach for fast, adaptive and reliable hardware CASs. The experimental part reveals our proof-of-concept testing results against the golden standard features. Furthermore, The results indicate a promising future for such design and a potential biologically-inspired CASs.","security, continuous authentication, smartphones, liquid state machine, biologically-inspired computational methods","","","SAC '19"
"Conference Paper","Rao A,Rozenblit J,Lysecky R,Sametinger J","Composite Risk Modeling for Automated Threat Mitigation in Medical Devices","","2017","","","","Society for Computer Simulation International","San Diego, CA, USA","Proceedings of the Symposium on Modeling and Simulation in Medicine","Virginia Beach, Virginia","2017","9781510838253","","","","Medical device security is a growing concern with increasing incorporation of complex software and hardware. Security threats exploiting vulnerabilities in medical devices may directly impact patient safety. Standardization and federal organizations are hence, actively involved in setting up new paradigms for guidance and regulation of security throughout the lifecycle. To protect medical devices against threats a risk-based framework that continually manages and assesses security risks along with their proactive addressing is highly recommended. In this paper, we model a multi-modal design approach for risk assessment in medical devices and propose an adaptive remediation scheme to mitigate security threats. Our multi-modal approach is integrated into the hardware-software development with a middleware for interaction between the modes. This provides an effective premarket risk management while the adaptive remediation scheme pro-actively mitigate risk during postmarket deployment. We model our approaches in detail and demonstrate them in a pacemaker design model and deployment scenario.","security threats, hardware-software design, risk management, medical device security","","","MSM '17"
"Conference Paper","Savola R,Abie H,Kanstrén T","Session Details: Fourth International Workshop on Measurability of Security in Software Architectures (MeSSa 2017)","","2017","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings","Canterbury, United Kingdom","2017","9781450352178","","https://doi.org/10.1145/3258045;http://dx.doi.org/10.1145/3258045","10.1145/3258045","Cybersecurity incidents are increasing, and at the same time, our society depends more and more on cyber-physical systems. Systematic approaches to measure cybersecurity are needed in order to support efficient construction and maintenance of secure software systems. Security measurement of software architectures is needed to produce sufficient evidence of security level as early as in the design phase. Design-time security measuring should support ""security by design"" approach. Moreover, software architectures have to support runtime security measurement to obtain up-to-date security information from an online software system, service or product. Security metrics and measurements are exploited in situational awareness monitoring and self-adaptive security solutions. The area of security metrics and security assurance metrics research is evolving, but still lacks widely accepted metrics definitions and applicable measuring techniques. Strong collaboration between security experts, software architects and system developers is needed to address this. MeSSa2017 workshop addresses these and other related topics to increase the importance of the overall picture, requiring sets of design patterns, measurements, metrics, best practices, and means to integrate this cost-effectively in the overall design and operational profiles.The outcome of the workshop will be an increased shared understanding of challenges and opportunities in systematic approaches to measure cybersecurity, which are needed in order to support efficient construction and maintenance of secure software systems.","","","","ECSA '17"
"Conference Paper","Inoue H,Ikeno A,Abe T,Sakai J,Edahiro M","Dynamic Security Domain Scaling on Symmetric Multiprocessors for Future High-End Embedded Systems","","2007","","","39–44","Association for Computing Machinery","New York, NY, USA","Proceedings of the 5th IEEE/ACM International Conference on Hardware/Software Codesign and System Synthesis","Salzburg, Austria","2007","9781595938244","","https://doi.org/10.1145/1289816.1289830;http://dx.doi.org/10.1145/1289816.1289830","10.1145/1289816.1289830","We propose a method for dynamic security domain scaling on SMPs that offers both highly scalable performance and high security for future high-end embedded systems. Its most important feature is its highly efficient use of processor resources, accomplished by dynamically changing the number of processors within a security domain in response to application load requirements. Two new technologies make this scaling possible without any virtualization software: 1) self-transition management and 2) unified virtual address mapping. Evaluations show that this domain control provides highly scalable performance and incurs almost no performance overhead in security domains. The increase in binary code size is less than 40KB, and the time required for individual state transitions is of a single-millisecond order. This scaling is the first in the world to make possible dynamic changing of the number of processors within a security domain on an ARM SMP.","AMP, SMP, dynamic security domain scaling","","","CODES+ISSS '07"
"Conference Paper","Masoumzadeh A","Security Analysis of Relationship-Based Access Control Policies","","2018","","","186–195","Association for Computing Machinery","New York, NY, USA","Proceedings of the Eighth ACM Conference on Data and Application Security and Privacy","Tempe, AZ, USA","2018","9781450356329","","https://doi.org/10.1145/3176258.3176323;http://dx.doi.org/10.1145/3176258.3176323","10.1145/3176258.3176323","Relationship-based access control (ReBAC) policies can express intricate protection requirements in terms of relationships among users and resources (which can be modeled as a graph). Such policies are useful in domains beyond online social networks. However, given the updating graph of user and resources in a system and expressive conditions in access control policy rules, it can be very challenging for security administrators to envision what can (or cannot) happen as the protection system evolves.In this paper, we introduce the security analysis problem for this class of policies, where we seek to answer security queries about future states of the system graph and authorizations that are decided accordingly. Towards achieving this goal, we propose a state-transition model of a ReBAC protection system, called RePM. We discuss about formulation of security analysis queries in RePM and present our initial results for a limited version of this model.","safety, relationship-based access control, security analysis","","","CODASPY '18"
"Journal Article","Skandylas C,Khakpour N,Andersson J","AT-DIFC+: Toward Adaptive and Trust-Aware Decentralized Information Flow Control","ACM Trans. Auton. Adapt. Syst.","2021","15","4","","Association for Computing Machinery","New York, NY, USA","","","2021-12","","1556-4665","https://doi.org/10.1145/3487292;http://dx.doi.org/10.1145/3487292","10.1145/3487292","Modern software systems and their corresponding architectures are increasingly decentralized, distributed, and dynamic. As a consequence, decentralized mechanisms are required to ensure security in such architectures. Decentralized Information Flow Control (DIFC) is a mechanism to control information flow in distributed systems. This article presents and discusses several improvements to an adaptive decentralized information flow approach that incorporates trust for decentralized systems to provide security. Adaptive Trust-Aware Decentralized Information Flow (AT-DIFC+) combines decentralized information flow control mechanisms, trust-based methods, and decentralized control architectures to control and enforce information flow in an open, decentralized system. We strengthen our approach against newly discovered attacks and provide additional information about its reconfiguration, decentralized control architectures, and reference implementation. We evaluate the effectiveness and performance of AT-DIFC+ on two case studies and perform additional experiments and to gauge the mitigations’ effectiveness against the identified attacks.","decentralized feedback loop, decentralized information flow control, Adaptive security, adaptive trust","","",""
"Conference Paper","Conklin A","The Use of a Collegiate Cyber Defense Competition in Information Security Education","","2005","","","16–18","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2nd Annual Conference on Information Security Curriculum Development","Kennesaw, Georgia","2005","9781595932617","","https://doi.org/10.1145/1107622.1107627;http://dx.doi.org/10.1145/1107622.1107627","10.1145/1107622.1107627","A Collegiate Cyber Defense Competition was conducted this spring with five universities fielding teams. This event was designed to provide student led teams a simulated operational business environment in which they could test their skills at information security and system operation. This three day event included external hackers attacking the student networks, as well as business users placing operational and administrative demands on the teams. Teams were scored based on their ability to maintain mandated business services, keeping hackers out and answering business scenario injects. The objective was to provide an environment where the teams could exercise their information technology abilities and do so in an operational mode where most information was not freely provided, but must be uncovered and discovered by the students in real time. Issues such as prioritization, resource allocation and technical skill application were tested using real world examples on a known instrumented network. The objective of providing feedback to each team as to its skill level and abilities was achieved and then some over the course of this successful event. Lessons were learned which are being used to move this local event to a national level event.","information security, competition, education","","","InfoSecCD '05"
"Conference Paper","Elkhodary A,Whittle J","A Survey of Approaches to Adaptive Application Security","","2007","","","16","IEEE Computer Society","USA","Proceedings of the 2007 International Workshop on Software Engineering for Adaptive and Self-Managing Systems","","2007","9780769529738","","https://doi.org/10.1109/SEAMS.2007.2;http://dx.doi.org/10.1109/SEAMS.2007.2","10.1109/SEAMS.2007.2","Adaptive systems dynamically change their behavior or structure at runtime to respond to environmental changes. This paper considers one class of adaptive systems-those that adapt application-level security mechanisms. Nowadays, adaptive software security is gaining greater attention as a way to balance the tradeoff between systems security and IT infrastructure overhead. Several adaptive security systems have been developed recently supporting hardware-level to application-level reconfiguration. This paper surveys four adaptive application-level security systems and evaluates them in terms of how well they support critical security services (i.e. authentication, authorization, and tolerance) and what level of adaptation they achieve. Based on our evaluation results, we provide recommendations for future research.","","","","SEAMS '07"
"Conference Paper","Chang X,Franke H,Ge Y,Liu T,Wang K,Xenidis J,Chen F,Zhang Y","Improving Virtualization in the Presence of Software Managed Translation Lookaside Buffers","","2013","","","120–129","Association for Computing Machinery","New York, NY, USA","Proceedings of the 40th Annual International Symposium on Computer Architecture","Tel-Aviv, Israel","2013","9781450320795","","https://doi.org/10.1145/2485922.2485933;http://dx.doi.org/10.1145/2485922.2485933","10.1145/2485922.2485933","Virtualization has become an important technology that is used across many platforms, particularly servers, to increase utilization, multi-tenancy and security. Virtualization introduces additional overhead that often relates to memory management, interrupt handling and hypervisor mode switching. Among those, memory management and translation lookaside buffer (TLB) management have been shown to have a significant impact on the performance of systems. Two principal mechanisms for TLB management exist in today's systems, namely software and hardware managed TLBs. In this paper, we analyze and quantify the overhead of a pure software virtualization that is implemented over a software managed TLB. We then describe our design of hardware extensions to support virtualization in systems with software managed TLBs to remove the most dominant overheads. These extensions were implemented in the Power embedded A2 core, which is used in the PowerEN and in the Blue Gene/Q processors. They were used to implement a KVM port. We evaluate each of these hardware extensions to determine their overall contributions to performance and efficiency. Collectively these extensions demonstrate an average improvement of 232% over a pure software implementation.","","","","ISCA '13"
"Journal Article","Chang X,Franke H,Ge Y,Liu T,Wang K,Xenidis J,Chen F,Zhang Y","Improving Virtualization in the Presence of Software Managed Translation Lookaside Buffers","SIGARCH Comput. Archit. News","2013","41","3","120–129","Association for Computing Machinery","New York, NY, USA","","","2013-06","","0163-5964","https://doi.org/10.1145/2508148.2485933;http://dx.doi.org/10.1145/2508148.2485933","10.1145/2508148.2485933","Virtualization has become an important technology that is used across many platforms, particularly servers, to increase utilization, multi-tenancy and security. Virtualization introduces additional overhead that often relates to memory management, interrupt handling and hypervisor mode switching. Among those, memory management and translation lookaside buffer (TLB) management have been shown to have a significant impact on the performance of systems. Two principal mechanisms for TLB management exist in today's systems, namely software and hardware managed TLBs. In this paper, we analyze and quantify the overhead of a pure software virtualization that is implemented over a software managed TLB. We then describe our design of hardware extensions to support virtualization in systems with software managed TLBs to remove the most dominant overheads. These extensions were implemented in the Power embedded A2 core, which is used in the PowerEN and in the Blue Gene/Q processors. They were used to implement a KVM port. We evaluate each of these hardware extensions to determine their overall contributions to performance and efficiency. Collectively these extensions demonstrate an average improvement of 232% over a pure software implementation.","","","",""
"Book","","SIN '13: Proceedings of the 6th International Conference on Security of Information and Networks","","2013","","","","Association for Computing Machinery","New York, NY, USA","","Aksaray, Turkey","2013","9781450324984","","","","The main theme of the SIN 2013 conference is security of information and networks. The theme includes the following topics: Access control and intrusion detection; Cyber physical systems; Autonomous and adaptive security; Security tools and development platforms; Computational intelligence techniques in security; Security ontology, models, protocols & policies; Computer network defense; Standards, guidelines and certification; Cryptographic techniques and key management; Security-aware software engineering; Industrial applications of security; Trust and privacy; Information assurance; Cyber Warfare (attacks and defenses); Next generation network architectures; Malware analysis; Network security and protocols; Security challenges in mobile/embedded systems.","","","Proceedings",""
"Journal Article","Dwivedi AK,Rath SK","Incorporating Security Features in Service-Oriented Architecture Using Security Patterns","SIGSOFT Softw. Eng. Notes","2015","40","1","1–6","Association for Computing Machinery","New York, NY, USA","","","2015-02","","0163-5948","https://doi.org/10.1145/2693208.2693229;http://dx.doi.org/10.1145/2693208.2693229","10.1145/2693208.2693229","Service-Oriented Architecture is an architectural style where different heterogeneous components share information with each other by using special types of messages based on the protocol known as Simple Object Access Protocol. Various technologies, such as Common Object Request Broker Architecture, Java 2 Platform, Enterprise Edition, Java Message Service etc. are applied to realize Service-Oriented Architecture for different applications. Besides these approaches, two other techniques, REpresentational State Transfer, and web services are applied for the realization of Service-Oriented Architecture. Web services provide a platform independent communication scheme between applications. The security preservation among the composition of services is an important task for Service-Oriented Architecture. In this study, an attempt is made to incorporate security features in Service- Oriented Architecture with the help of software security patterns. This scheme is described by developing an architectural model integrated with security goals and security patterns. The structural and behavioral aspects of composition of web services incorporated with security features are presented using a Unified Modeling Language class diagram and a sequence diagram respectively. At the end of this study, an evaluation is performed between identified security patterns and critical security properties along with Service-Oriented Architecture design principles. A case study of an online banking system is considered to explain the use of security patterns.","Security Patterns, Web Services, SOA, Service Composition","","",""
"Journal Article","Benson GS,Akyildiz IF,Appelbe WF","A Formal Protection Model of Security in Centralized, Parallel, and Distributed Systems","ACM Trans. Comput. Syst.","1990","8","3","183–213","Association for Computing Machinery","New York, NY, USA","","","1990-08","","0734-2071","https://doi.org/10.1145/99926.99928;http://dx.doi.org/10.1145/99926.99928","10.1145/99926.99928","One way to show that a system is not secure is to demonstrate that a malicious or mistake-prone user or program can break security by causing the system to reach a nonsecure state. A fundamental aspect of a security model is a proof that validates that every state reachable from a secure initial state is secure. A sequential security model assumes that every command that acts as a state transition executes sequentially, while a concurrent security model assumes that multiple commands execute concurrently. This paper presents a security model called the Centralized-Parallel-Distributed model (CPD model) that defines security for logically, or physically centralized, parallel, and distributed systems. The purpose of the CPD model is to define concurrency conditions that guarentee that a concurrent system cannot reach a state in which privileges are configured in a nonsecure manner. As an example, the conditions are used to construct a representation of a distributed system.","distributed system security, operating system security, concurrency control, access control, protection model","","",""
"Conference Paper","Cheng L,Zhang Y","Model Checking Security Policy Model Using Both UML Static and Dynamic Diagrams","","2011","","","159–166","Association for Computing Machinery","New York, NY, USA","Proceedings of the 4th International Conference on Security of Information and Networks","Sydney, Australia","2011","9781450310208","","https://doi.org/10.1145/2070425.2070451;http://dx.doi.org/10.1145/2070425.2070451","10.1145/2070425.2070451","An operating system relies heavily on its security model to defend against malicious attacks. It has been one of the hottest research domains for decades to validate security models' correctness by formal methods during the development of security operating systems. However, current studies on the formal verification of security models are sometimes too sophisticated for the developers of operating systems, who are usually not experts in mathematical reasoning and proving. So representing a security model in UML becomes a compromise choice for the developers' verification work during system developing. In this paper, we propose a new method to verify the security policy model against the security goals using model checker SPIN and UML modeling language. Given a security policy model and the security property to be validated, our approach leverages UML class diagrams and statechart diagrams to specify its state model and its state transitions respectively. Then we translate these UML diagrams into the input language of SPIN automatically, as well as the security property. The conformance between the security goal and security model can finally be analyzed by SPIN. We proved the effectiveness of our approach by checking the violation of confidentiality of the DBLP model.","formal verification, model checking, security model, uml","","","SIN '11"
"Conference Paper","Zhilin IV,Bushnaq OM,De Masi G,Natalizio E,Akyildiz IF","A Universal Multimode (Acoustic, Magnetic Induction, Optical, RF) Software Defined Radio Architecture for Underwater Communication","","2022","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 15th International Conference on Underwater Networks & Systems","Shenzhen, Guangdong, China","2022","9781450395625","","https://doi.org/10.1145/3491315.3491327;http://dx.doi.org/10.1145/3491315.3491327","10.1145/3491315.3491327","Various underwater communication applications are proposed to maintain different economic, environmental, and security gains. To support the high quality of service (QoS) requirements of the involved communication tasks, one solution is to rely on multi-mode (i.e., acoustic, optical, magnetic induction (MI), and radio frequency (RF)) communication systems. Such a multi-mode communication system can take advantage of the complementary modes’ features, to obtain QoS requirements per transmission flow. However, challenges including high system cost and coordination between different modes need to be addressed. Therefore, in this paper a Universal Underwater Software Defined Radio (UniSDR) architecture is proposed that realizes joint operation of different modes, in order to deal with the latest use cases demands. Detailed description of the UniSDR architecture is presented. Novelty of the architecture provides flexibility, allowing designer to build a radio that includes any set of modes, which can operate jointly by exchanging data, control and synchronization. A numerical evaluation is conducted to assess the performance of the proposed UniSDR architecture. It clearly shows that the utilization of UniSDR allows to decrease the transmission latency and improve energy efficiency, while maintaining the reliability and robustness.","","","","WUWNet '21"
"Conference Paper","Tongshen H,Xiamin,Qingzhang C,Kezhen Y","Design and Implement of Firewall-Log-Based Online Attack Detection System","","2004","","","146–149","Association for Computing Machinery","New York, NY, USA","Proceedings of the 3rd International Conference on Information Security","Shanghai, China","2004","9781581139556","","https://doi.org/10.1145/1046290.1046320;http://dx.doi.org/10.1145/1046290.1046320","10.1145/1046290.1046320","This paper presents a firewall-log-based online attack detection system, giving its inner logic, composing, detecting method and realization. The system is up to firewall-log's online analysis, between-log relevancy checking, and automatic audit by the way of state transition of finite state machine. Test shows the system will provide firewall with not only network attack detection ability but also the ability to scan network addresses, scan communication ports and deny service.","network security, log analysis, firewall","","","InfoSecu '04"
"Conference Paper","Juhola A,Ahola T,Ahola K","Adaptive Risk Management with Ontology Linked Evidential Statistics and SDN","","2014","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2014 European Conference on Software Architecture Workshops","Vienna, Austria","2014","9781450327787","","https://doi.org/10.1145/2642803.2642805;http://dx.doi.org/10.1145/2642803.2642805","10.1145/2642803.2642805","New technologies have increased the dynamism of distributed systems; advances such as Software Defined Networking (SDN) and cloud computing enable unprecedented service flexibility and scalability. By their nature, they are in a constant state of flux, presenting tough challenges for system security. Here an adaptive -- in real time - risk management system capable of keeping abreast of these developments is considered. This paper presents an on-going work on combining a hierarchical threat ontology, real-time risk analysis, and SDN to an efficient whole. The main contribution of this paper is on finding the suitable architectures, components, necessary requirements, and favorable modifications on the systems and system modelling (including the models involving the security analysis) to reach this goal.","Neural Network inspired Fuzzy C-means, SDN, Adaptive security, Threat ontology, Dempster-Schafer, Dezert-Smarandache","","","ECSAW '14"
"Conference Paper","Gonzalez-Granadillo G,Rubio-Hernan J,Garcia-Alfaro J","A Pyramidal-Based Model to Compute the Impact of Cyber Security Events","","2018","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 13th International Conference on Availability, Reliability and Security","Hamburg, Germany","2018","9781450364485","","https://doi.org/10.1145/3230833.3230847;http://dx.doi.org/10.1145/3230833.3230847","10.1145/3230833.3230847","This paper presents a geometrical model that projects malicious and benign events (e.g., attacks, security countermeasures) as pyramidal instances in a multidimensional coordinate system. The approach considers internal event data related to the target system (e.g., users, physical, and logical resources, IP addresses, port numbers, etc.), and external event data related to the attacker (e.g., knowledge, motivation, skills, etc.) that can be obtained a priori and a posteriori. Internal data is used to model the base of the pyramid, whereas external data is used to model its height. In addition, the approach considers state transitions taken by the attacker to model the steps of a multi-stage attack to reach to its final goal. As a result, for each modeled state, new countermeasures are evaluated and the attacker's knowledge a posteriori changes accordingly, making it possible to evaluate the impact of the attack at time Ti, where i denotes the stage at which the attack is executed. A graphical representation of the impact of each evaluated event is depicted for visualization purposes. A use case of a cyber-physical system is proposed at the end of the paper to illustrate the applicability of the proposed geometrical model.","Pyramidal Model, Decision Support Tool, Geometrical Model, Countermeasure Selection, Event Impact Representation, Visualization","","","ARES 2018"
"Conference Paper","Wang X,Madaan A,Siow E,Tiropanis T","Sharing Databases on the Web with Porter Proxy","","2017","","","1673–1676","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","Proceedings of the 26th International Conference on World Wide Web Companion","Perth, Australia","2017","9781450349147","","https://doi.org/10.1145/3041021.3051694;http://dx.doi.org/10.1145/3041021.3051694","10.1145/3041021.3051694","With large number of datasets now available through the Web, data-sharing ecosystems such as the Web Observatory have emerged. The Web Observatory provides an active decentralised ecosystem for datasets and applications based on a number Web Observatory sites, each of which can run in a different administrative domain. On a Web Observatory site users can publish and securely access datasets across domains via a harmonised API and reverse proxies for access control. However, that API provides a different interface to that of the databases on which datasets are stored and, consequently, existing applications that consume data from specific databases require major modification to be added to the Web Observatory ecosystem. In this paper we propose a lightweight architecture called Porter Proxy to address this concern. Porter Proxy exposes the same interfaces as databases as requested by the users while enforcing access control. Characteristics of the proposed Porter Proxy architecture are evaluated based on adversarial scenario-handling in Web Observatory eco-system.","proxy, access control, security, web observatory, data sharing","","","WWW '17 Companion"
