"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Address","Proceedings title","Date published","ISBN","ISBN (alt.)","ISSN","URLs","DOI","Abstract","Keywords","Notes","Affiliation","Language","Series"
"Conference Paper","Solomon RJ,Buchman M,Rosenthal E,Smith JM,Johnson C","","Write Once, Read Forever (WORF)-Proof-Of-Concept Demonstrated For Archival Data Storage Using Interference Spectra","","2015","","","92-97","Soc Imag Sci & Technol","SOC IMAGING SCIENCE & TECHNOLOGY","7003 KILWORTH LANE, SPRINGFIELD, VA 22151 USA","ARCHIVING 2015 - FINAL PROGRAM AND PROCEEDINGS","2015","9780892083145","","2166-9635","","","Based on a proven, century-old archival technique, we have successfully demonstrated the feasibility of storing high density, multi-state data in the form of interference gratings embedded in archival silver halide media. Data stored as interference gratings cannot be erased remotely, or altered after writing and processing, yielding a verifiable backup storage tier for archives and data security applications. WORF is engineered to be a permanent and low energy data storage medium not requiring periodic refreshing or authentication. Should the original reading devices be lost in the far future, human visible instructions for creating a reading device and decoding the formats a digital ``Rosetta Stone'' are included on the data media. The unalterable WORF medium has ancillary uses for other critical data storage applications such as securing an operating system against hacking, and verifying data transactions.","","IS&T Archiving Conference 2015 (ARCHIVING 2015), Los Angeles, CA, MAY 19-22, 2015","Solomon, RJ (Corresponding Author), Univ Penn, Sch Engn & Appl Sci, Philadelphia, PA 19104 USA. Solomon, Richard J., Univ Penn, Sch Engn & Appl Sci, Philadelphia, PA 19104 USA. Solomon, Richard J., Creat Technol LLC, Monson, MA USA. Buchman, Melitte, NYU, Div Lib, New York, NY 10003 USA. Rosenthal, Eric, Creat Technol LLC, Morganville, NJ USA. Rosenthal, Eric, NYU, Interact Telecommun Program, New York, NY USA. Smith, Jonathan M., Univ Penn, Engn & Appl Sci, Philadelphia, PA 19104 USA. Smith, Jonathan M., Univ Penn, Comp & Informat Sci, Philadelphia, PA 19104 USA. Johnson, Clark, Creat Technol LLC, Madison, WI USA.","English","Color and Imaging Conference Final Program and Proceedings"
"Conference Paper","Ferri GA,Walter SE,Tennakoon A,Djuric MM","","VIRTUAL TEACH PENDANT INTERFACE FOR ANDROID CELLPHONES (VTPAC)","","2019","","","","Amer Soc Mech Engineers","AMER SOC MECHANICAL ENGINEERS","THREE PARK AVENUE, NEW YORK, NY 10016-5990 USA","PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION, 2018, VOL 5","2019","9780791852064","","","","","The objective of this research is to develop a Virtual Teach Pendant for Android Cellphones (VTPAC) that is able to communicate with the robot model in the Visual Components software [11 [21. The VTPAC is a force multiplier that allows users to gain valuable teach pendant experience in labs with few robots, and makes the actual real-world robot time more valuable. It is also like a graduated driver's license where the student must prove some proficiency with the VTPAC before being allowed to get behind the wheel. The VTPAC will be used to operate the real robot system too and will allow people to be trained without using real robotic systems in very safe environment. The VTPAC can be used for industrial training and can be integrated in the academic programs, especially for online courses. In this research, the Fanuc LR Mate 200iC robot and the Visual Components software have been selected as a case study. These choices were made because ofthe easy access to the Fanuc LR Mate 200iC and this interface by reason of it can control the robot the same way as the Teach Pendant in the real world. Using the robot kinematic theory to understand the Teach Pendant commands, the code was developed such that it respects the operating mode of the robot and all the security operations needed. For the VTPAC development we used Python to communicate with the Visual Components software to work as a client for the software. This can allow users to utilize its own cellphone as the teach pendant and the software as the robot, having a more real experience in a safe environment. The VTPAC has been implemented and tested successfully.","Virtual Teach Pendant; Android Cellphones; Robot Simulation; Robot kinematic; Python","ASMEInternational Mechanical Engineering Congress and Exposition (IMECE2018), Pittsburgh, PA, NOV 09-15, 2018","Djuric, MM (Corresponding Author), Wayne State Univ, Coll Engn, Div Engn Technol, Detroit, MI 48202 USA. Ferri, Giulia A., Fed Univ Techol Parana, 3165 Sete Setembro Ave, Curitiba, Parana, Brazil. Walter, Scott E.; Tennakoon, Asiri, Visual Components, 2633 S Lapeer Rd, St Lake Orion, MI USA. Djuric, Ma M., Wayne State Univ, Coll Engn, Div Engn Technol, Detroit, MI 48202 USA.","English",""
"Journal Article","Wu J,Wu Z,Wu F,Mao X","","A power balancing method of distributed generation and electric vehicle charging for minimizing operation cost of distribution systems with uncertainties","ENERGY SCIENCE & ENGINEERING","2017","5","3","167-179","","WILEY","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","2017-06","","","2050-0505","http://dx.doi.org/10.1002/ese3.157","10.1002/ese3.157","A power balancing method of distributed generation (DG) and electric vehicle charging is presented for minimizing operation costs of distribution systems with uncertainties, which includes the uncertainties in output power of DG and the randomness of charging power of electric vehicles (EV). A probability model is established for the uncertain characteristics of DG and electric vehicle charging. A multi-state optimization coordination method for DG of renewable energy systems and electric vehicle charging in distribution systems based on quadratic rotation cone programming is presented to minimize the expected generation cost of generators in the main power grid, the expected operation cost of DG systems in distribution systems, and the expected social outage loss. An objective function maximizing the operation efficiency of distribution systems with DGs and EVs is proposed. Using quadratic rotated conic programming, the nonlinear objective function and constraint functions are transformed into a linear form. An IEEE 14-node distribution system is used as a study example to illustrate adaptability of the proposed model and the feasibility of the proposed method. The simulation results show that the proposed method simplifies the original problem of the optimization problem and makes its solution faster, more stable, and better.","Distributed generation; distribution systems; electric vehicle charging; operation cost; power balancing; quadratic rotated cone programming","","Wu, JK (Corresponding Author), Guangdong Univ Technol, Dept Sch Automat, Guangzhou Higher Educ Mega Ctr, 100 Waihuan Xi Rd, Guangzhou 510006, Guangdong, Peoples R China. Wu, Jiekang; Wu, Zhishan; Mao, Xiaoming, Guangdong Univ Technol, Sch Automat, Guangzhou 510006, Guangdong, Peoples R China. Wu, Fan, Guangxi Power Grid Co Ltd, Guangxi Bo Yang Elect Power Survey & Design Co Lt, Nanning 530023, Guangxi, Peoples R China.","English",""
"Journal Article","Lee CH,Ma LS,Weng CH,Chen BK","","Lessons Learned From the Generator Loss of Field at a Cogeneration Thermal Power Plant in Taiwan","IEEE TRANSACTIONS ON POWER SYSTEMS","2011","26","4","2093-2100","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","","2011-11","","","0885-8950","http://dx.doi.org/10.1109/TPWRS.2011.2105894","10.1109/TPWRS.2011.2105894","The contribution of this paper is that we present experiences from dealing with practical issues related to synchronous machine stability events. We describe and analyze the scenarios of generator loss-of-field occurring two times at a cogeneration thermal power plant in Taiwan in the years 2003 and 2005. Since the total production loss from both events was quite large, some improvements have been implemented to prevent the recurrence of similar events in the future. They consist of installing the sequence of events recorder at the generator output terminal, regulating the generator lagging power factor operation from 0.95-0.99 to 0.91, adjusting the tap position to decrease the secondary voltage of the 161 kV/161 kV interconnecting transformer, operating the phase-leading capacitors attached with a multi-stage chain cut-off control unit, and running two or three generators in automatic voltage regulation mode instead of automatic power factor regulation mode. Although similar events occurred twice at the same power plant in 2006, the generating units were capable of continuous stable operation which had effectively verified the improvements of operational changes. In conclusion, we suggest that the operating modes of generators in a cogeneration plant should re-examine constantly as well as monitor power quality of different end-user sectors continuously in order to ensure the security of power-system operation.","Automatic power factor regulation; automatic voltage regulation; cogeneration power plant; generator loss-of-field","","Lee, CH (Corresponding Author), Natl Cheng Kung Univ, Dept Syst & Naval Mechatron Engn, Tainan 701, Taiwan. Lee, Chien-Hsing, Natl Cheng Kung Univ, Dept Syst & Naval Mechatron Engn, Tainan 701, Taiwan. Ma, Ling-Shen; Weng, Ching-Hsiang, Mail Liao Power Corp, Dept Elect Engn, Yunlin 632, Taiwan. Chen, Bin-Kwie, Tatung Univ, Dept Elect Engn, Taipei 104, Taiwan.","English",""
"Journal Article","Habibzadeh A,Moghaddam MS,Baygi SJ,Ranjbar S","","An online tripping index to improve microgrid dynamic stability based on estimating critical boundary area","SUSTAINABLE ENERGY GRIDS & NETWORKS","2021","27","","","","ELSEVIER","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","","2021-09","","","2352-4677","http://dx.doi.org/10.1016/j.segan.2021.100520","10.1016/j.segan.2021.100520","This paper presents an online index for adaptive protection of microgrids concerning the low inertia concept. A three-step approach is developed to consider two offline and online environments, and the proposed scheme is designed. In Step-1, a comprehensive study of the microgrid dynamical model is investigated through two different distributed energy resources (DERs), including generator-based and inverter-based resources. In this step, based on the low-inertia concept, a dynamical model of an adaptive protection scheme is proposed through a set of non-model-based indexes. In Step-2, considering online evaluations of produced indexes, two different equations are provided in the form activation point and triggering point which the corresponding adaptive protective zones are provided. In this step, considering different operational and topological points of microgrid, the protective abilities of proposed indexes are validated and reorganized. Finally Step-3 concentrates on the ability of the proposed defensive scheme in real-time operating mode. In this step, considering different fault scenarios, the accuracy estimation and fast detection of the developed protection scheme are investigated, and the microgrid dynamic security is evaluated. Results present the effectuality of the proposed scheme to fast and secure detection of unstable scenarios using adaptive non-model-based signals concerning different system structures. (C) 2021 Elsevier Ltd. All rights reserved.","Microgrid; Distributed energy resources; Adaptive protection; Protective zones; Oscillatory signals","","Moghaddam, MS (Corresponding Author), Islamic Azad Univ, Damghan Branch, Dept Elect Engn, Damghan, Iran. Habibzadeh, Amir; Moghaddam, Mahmoud Samiei; Baygi, Seyyed Javad Mohammadi, Islamic Azad Univ, Damghan Branch, Dept Elect Engn, Damghan, Iran. Ranjbar, Soheil, Velayat Univ, Dept Elect Engn, Iranshahr, Iran.","English",""
"Journal Article","Tarpani RR,Miralles-Cuevas S,Gallego-Schmid A,Cabrera-Reina A,Cornejo-Ponce L","","Environmental assessment of sustainable energy options for multi-effect distillation of brackish water in isolated communities","JOURNAL OF CLEANER PRODUCTION","2019","213","","1371-1379","","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","","2019-03-10","","","0959-6526","http://dx.doi.org/10.1016/j.jclepro.2018.12.261","10.1016/j.jclepro.2018.12.261","Access to sufficient quantities of fresh water is becoming increasingly difficult, especially in dry regions. Moreover, high levels of salinity, arsenic and boron are further limiting the access to quality fresh water in many isolated communities worldwide. This paper evaluates the life cycle environmental impacts of a small multi-effect distillation (MED) plant, treating brackish water with high levels of these metalloids in an isolated location in Northern Chile. The facility currently operates solely with electricity from a diesel generator and heat from a biomass boiler. In order to evaluate the environmental impacts of more sustainable energy options, the implications of the use of solar fields and grid electricity as potential alternatives have been analysed. The results demonstrate that coupling solar fields and grid electricity is the best option, sharply decreasing impact in most categories in comparison to the current operating mode of the plant. This was attributed to the impact savings from reducing/eliminating onsite diesel and biomass combustion, and their associated transportation to the plant. For MED desalination in off-the-grid areas, the use of solar energy is highly recommended as an alternative to complement the use of diesel and biomass, especially if the latter is not nearby the unit. The concentration of arsenic and boron was reduced to below the required standards for irrigation and livestock consumption. The article concludes that the use of solar energy and grid electricity are environmentally beneficial for the production of quality fresh water from brackish water using MED at isolated communities. (C) 2018 Elsevier Ltd. All rights reserved.","Life cycle assessment (LCA); Desalination; Arsenic; Boron; Solar and biomass energy; Water treatment","","Gallego-Schmid, A (Corresponding Author), Univ Manchester, Sch Chem Engn & Analyt Sci, Sustainable Ind Syst, Sackville St, Manchester M13 9PL, Lancs, England. Miralles-Cuevas, S (Corresponding Author), Univ Tarapaca, Escuela Univ Ingn Mecan EUDIM, Arica 1775, Chile. Tarpani, Raphael Ricardo Zepon; Gallego-Schmid, Alejandro, Univ Manchester, Sch Chem Engn & Analyt Sci, Sustainable Ind Syst, Sackville St, Manchester M13 9PL, Lancs, England. Miralles-Cuevas, Sara; Cabrera-Reina, Alejandro; Cornejo-Ponce, Lorena, Univ Tarapaca, Escuela Univ Ingn Mecan EUDIM, Arica 1775, Chile. Miralles-Cuevas, Sara; Cabrera-Reina, Alejandro; Cornejo-Ponce, Lorena, Univ Tarapaca, LIMZA, Arica 1775, Chile. Gallego-Schmid, Alejandro, Univ Manchester, Sch Mech Aerosp & Civil Engn, Tyndall Ctr Climate Change Res, Pariser Bldg,Sackville St, Manchester M13 9PL, Lancs, England.","English",""
"Journal Article","Mammen S,Bauer JW,Richards L","","Understanding Persistent Food Insecurity: A Paradox of Place and Circumstance","SOCIAL INDICATORS RESEARCH","2009","92","1","151-168","","SPRINGER","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","","2009-05","","","0303-8300","http://dx.doi.org/10.1007/s11205-008-9294-8","10.1007/s11205-008-9294-8","Survey data from a U.S. Department of Agriculture funded multi-state longitudinal project revealed a paradox where rural low-income families from states considered prosperous were persistently more food insecure than similar families from less prosperous states. An examination of quantitative and qualitative data found that families in the food insecure states were more likely to experience greater material hardship and incur greater housing costs than families in the food secure states. Families in the food insecure states, however, did not have lower per capita median incomes or lower life satisfaction than those in the food secure states. A wide range of strategies to cope with food insecurity reported by families in both food insecure and food secure states was examined using the Family Ecological Systems Theory. Families in the food insecure states used several risky consumption reduction strategies such as curbing their appetite and using triage. Families in the food secure states, on the other hand, employed positive techniques involving their human capital.","Persistent food insecurity; Rural low-income families; Food coping strategies; Family Ecological Systems; Material hardship","","Mammen, S (Corresponding Author), Univ Massachusetts, Dept Resource Econ, 303 Stockbridge Hall, Amherst, MA 01003 USA. Mammen, Sheila, Univ Massachusetts, Dept Resource Econ, Amherst, MA 01003 USA. Bauer, Jean W., Univ Minnesota, Dept Family Social Sci, St Paul, MN 55108 USA. Richards, Leslie, Oregon State Univ, Dept Human Dev & Family Sci, Corvallis, OR 97331 USA.","English",""
"Journal Article","Zhu L,Che WW","","Dynamic event-triggered model-free adaptive security tracking control for constrained subway train system","INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL","2023","33","3","2304-2319","","WILEY","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","2023-02","","","1049-8923","http://dx.doi.org/10.1002/rnc.6496","10.1002/rnc.6496","In this article, the dynamic event-triggered model-free adaptive security tracking control problem of the subway system with speed and traction/braking force constraints under aperiodic denial-of-service (DoS) attacks is studied. The complex subway train system is transformed into a linearization data model by using the dynamic linearization technique. For the subway system, both speed and traction/braking forces need to be restrained to ensure the safety of the subway equipment. In addition, the dynamic event-triggered mechanism is designed to reduce communication frequency and prolong the hardware life cycle. At the same time, considering aperiodic DoS attacks in the network channel, the security tracking control problem is guaranteed. In the simulation, the algorithm is applied to the subway train system, and the effectiveness of this algorithm is verified with a comparison.","aperiodic DoS attacks; constrained subway train system; dynamic event-triggered mechanism; model-free adaptive control","","Che, WW (Corresponding Author), Qingdao Univ, Sch Automat, Shandong Key Lab Ind Control Technol, Qingdao 266071, Peoples R China. Zhu, Lin; Che, Wei-Wei, Qingdao Univ, Sch Automat, Shandong Key Lab Ind Control Technol, Qingdao, Peoples R China. Che, Wei-Wei, Qingdao Univ, Sch Automat, Shandong Key Lab Ind Control Technol, Qingdao 266071, Peoples R China.","English",""
"Conference Paper","Jean E,Jiao Y,Hurson AR,Potok TE","","Boosting-based distributed and adaptive security-monitoring through agent collaboration","","2007","","","516+","IEEE Comp Soc TCII; Web Intelligence Consortium; AMC SIGART","IEEE COMPUTER SOC","10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA","PROCEEDING OF THE 2007 IEEE/WIC/ACM INTERNATIONAL CONFERENCE ON WEB INTELLIGENCE AND INTELLIGENT AGENT TECHNOLOGY, WORKSHOPS","2007","9780769530284","","","http://dx.doi.org/10.1109/WI-IATW.2007.52","10.1109/WI-IATW.2007.52","The use of mobile agents to support the development of practical applications is limited primarily by the risky to which hosts in the system are subject to. This article introduces a distributed and adaptive security-monitoring framework to decrease such potential threats. The proposed framework is based on a modified version of the popular Boosting algorithm to classify malicious agents based on their execution patterns on current and prior hosts. Having implemented the framework for the Aglet platform, we herein present the results of our experiments showcasing the detection of agent entities in the system with intention deviating from that of their well-behaved counterparts.","","IEEE/WIC/ACM International Conference on Intelligent Agent Technology and Web Intelligence, Fremont, CA, NOV 02-05, 2007","Jean, E (Corresponding Author), Penn State Univ, Dept Comp Sci & Engn, University Pk, PA 16801 USA. Jean, Evens; Hurson, Ali R., Penn State Univ, Dept Comp Sci & Engn, University Pk, PA 16801 USA. Jiao, Yu; Potok, Thomas E., Oak Ridge Natl Lab, Comp Sci & Engn Div, Oak Ridge, TN 37831 USA.","English",""
"Journal Article","Luo F,Al-Kuwari S","","Attribute-based signatures from lattices: unbounded attributes and semi-adaptive security","DESIGNS CODES AND CRYPTOGRAPHY","2022","90","5","1157-1177","","SPRINGER","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","","2022-05","","","0925-1022","http://dx.doi.org/10.1007/s10623-022-01027-1","10.1007/s10623-022-01027-1","We construct a lattice-based (key-policy) attribute-based signatures (ABS) scheme which supports attributes of unbounded polynomial length (the size of the public parameters is a fixed polynomial in the security parameter and a depth bound, with which one can generate signatures for attributes of arbitrary length). Our scheme does not rely on NIZKs, and we prove that our scheme is semi-adaptively unforgeable in the standard model; that is, the adversary can announce the challenge attribute after seeing the public parameters but before launching any query. Unlike our scheme, previous approaches either construct selectively unforgeable ABS schemes in the standard model that only support attributes of a-priori bounded polynomial length, or construct adaptively unforgeable ABS schemes that support attributes of unbounded polynomial length but relying on NIZKs. We adapt an existing technique developed by Brakerski and Vaikuntanathan for constructing lattice-based semi-adaptively secure (key-policy) attribute-based encryption (ABE) with unbounded attribute length. In particular, we use the adapted technique to generate an unbounded number of matrices out of a-priori bounded public matrices in the construction and program the challenge attribute into the public matrices in our semi-adaptive security proof. Moreover, to achieve adaptive signature query in our semi-adaptive security proof, we employ the traditional partitioning technique developed in identity-based systems to encode the message to be signed. Re-using and adapting lattice-based ABE technique and partitioning technique for lattice-based ABS should not be surprising since the three settings share many features, especially their security proof ideas.","ABS; Lattices; NIZKs; ABE; SIS","","Luo, FC (Corresponding Author), Peng Cheng Lab, Dept New Networks, Shenzhen, Peoples R China. Luo, Fucai; Al-Kuwari, Saif, Peng Cheng Lab, Dept New Networks, Shenzhen, Peoples R China. Al-Kuwari, Saif, Hamad Bin Khalifa Univ, Coll Sci & Engn, Doha, Qatar.","English",""
"Conference Paper","Carney M,Loe B","","A comparison of methods for implementing adaptive security policies","","1998","","","1-14","USENIX Assoc; Comp Emergency Response Team","USENIX ASSOC","SUITE 215, 2560 NINTH ST, BERKELEY, CA 94710 USA","PROCEEDINGS OF THE SEVENTH USENIX SECURITY SYMPOSIUM","1998","9781880446928","","","","","The security policies for computing resources must match the security policies of the organizations that use them; therefore, computer security policies must be adaptive to meet the changing security environment of their user-base. This paper presents four methods for implementing adaptive security policies for architectures which separate the definition of the policy in a Security Server from the enforcement which is done by the kernel. The four methods discussed include reloading a new security database for the Security Server, expanding the state and security database of the Security Server to include more than one mode of operation, implementing another Security Server and handing off control for security computations, and implementing multiple, concurrent Security Servers each controlling a subset of processes. Each of these methods comes with a set of tradeoffs: policy flexibility, functional flexibility, security, reliability, and performance. This paper evaluates each of the implementations with respect to each of these criteria. Although the methods described in this paper were implemented for the Distributed Trusted Operating System (DTOS) prototype, this paper describes general research, and the conclusions drawn from this work need not be limited to that development platform.(1).","","7th USENIX Security Symposium, SAN ANTONIO, TX, JAN 26-29, 1998","Carney, M (Corresponding Author), Secure Comp Corp, 2675 Long Lake Rd, Roseville, MN 55113 USA. Secure Comp Corp, Roseville, MN 55113 USA.","English",""
"Conference Paper","Tian X,Yan H","","RESEARCH ON PROBABILISTIC SAFETY ASSESSMENT (PSA) METHOD OF SAFETY CLASS DISTRIBUTED CONTROL SYSTEM (DCS) IN NUCLEAR POWER PLANT BASED ON FUZZY MARKOV PROCESS","","2020","","","","Amer Soc Mech Engineers; Amer Soc Mech Engineers, Nucl Engn Div","AMER SOC MECHANICAL ENGINEERS","THREE PARK AVENUE, NEW YORK, NY 10016-5990 USA","PROCEEDINGS OF THE 2020 INTERNATIONAL CONFERENCE ON NUCLEAR ENGINEERING (ICONE2020), VOL 2","2020","9780791883778","","","","","Safety class DCS(Distributed Control System) in nuclear power plant is characterized by multi-state interaction, complex function and unknown fault mechanism, which limits the use of tradition PSA(Probabilistic Safety Assessment) method such as event tree and fault free. An improved dynamic probabilistic security simulation method is proposed based on fuzzy Markov process to quantitative evaluation the risk of Safety class DCS in nuclear power plant, which resolved the failure uncertainty problem without in-depth understanding of failure mechanism. Firstly, the fuzzy fault free reliability evaluation model is established based on fuzzy theory and FTA(Fault Tree Analysis), which describes the probability and degree of failure with fuzzy number. Then, the fuzzy fault tree is transformed into fuzzy Markov chain, this model is described mathematically, and the reliability indexes are simulated and analyzed with Monte Carlo simulation method, the change of system safety performance in long-term operation is obtained. Finally, the scientificity and effectiveness is verified by the example of redundant analog output module of safety class DCS in nuclear plant.","PSA; fuzzy fault tree; fuzzy Markov process; DCS; Monte Carlo","International Conference on Nuclear Engineering (ICONE), ELECTR NETWORK, AUG 04-05, 2020","Tian, XF (Corresponding Author), Nucl Power Inst China, Sci & Technol Reactor Syst Design Technol Lab, HuaFu Ave 299,Sect 3, Chengdu 610213, Peoples R China. Tian, Xufeng; Yan, Hao, Nucl Power Inst China, Sci & Technol Reactor Syst Design Technol Lab, HuaFu Ave 299,Sect 3, Chengdu 610213, Peoples R China.","English",""
"Conference Paper","Solomon RJ,Buchman M,Rosenthal E,Smith JM,Johnson C,Butterfield W,City E,Carlin D","","Test Data Reader for Write Once, Read Forever (WORF) Interference Spectra Archival Media","","2016","","","61-65","Soc Imag Soc & Technol; Natl Archives","SOC IMAGING SCIENCE & TECHNOLOGY","7003 KILWORTH LANE, SPRINGFIELD, VA 22151 USA","ARCHIVING 2016: FINAL PROGRAM AND PROCEEDINGS","2016","9780892083206","","","","","We report on the test results of a recently fabricated data reader for our Write Once, Read Forever (WORF) high-density, very long-term archival data storage system. At the 2014 and 2015 IS&T Archiving conferences we described our technology and our progress establishing that multi-state data can be stored on monochromatic, dye-free, silver halide (AgX) media using our patented processes. WORF ``freezes the wavelength'' configuration of light within the media, which is restructured as a data constellation. Hitherto unreported chemical and optical phenomena are documented. WORF presents novel opportunities for security, encryption, data compression, and simple information recovery for the far future. It is known that AgX will last many centuries in ambient room temperature without continuous energy inputs or continual replication and authentication. This is an ``existence proof'' for the long-term archivability of data storage based on AgX chemistry.","","13th Annual IS&T Archiving Conference 2016 (ARCHIVING 2016), Natl Archives & Records Adm, Washington, DC, APR 19-22, 2016","Solomon, RJ (Corresponding Author), Univ Penn, Sch Engn & Appl Sci, Philadelphia, PA 19104 USA. Solomon, RJ (Corresponding Author), Creat Technol LLC, Monson, MA USA. Solomon, Richard J., Univ Penn, Sch Engn & Appl Sci, Philadelphia, PA 19104 USA. Smith, Jonathan M., Univ Penn, Engn & Appl Sci, Philadelphia, PA 19104 USA. Smith, Jonathan M., Univ Penn, Comp & Informat Sci, Philadelphia, PA 19104 USA. Solomon, Richard J., Creat Technol LLC, Monson, MA USA. Buchman, Melitte, NYU, Div Lib, New York, NY USA. Rosenthal, Eric, NYU, Interact Telecommun Program, New York, NY USA. Rosenthal, Eric, Creat Technol LLC, Morganville, NJ USA. Johnson, Clark, Creat Technol LLC, Madison, WI USA. Butterfield, William, Creat Technol LLC, Ellicott City, MD USA. Carlin, Donald, Creat Technol LLC, Pennington, NJ USA.","English",""
"Conference Paper","Hao Z,Di Maio F,Zio E","","Dynamic Reliability Assessment of Cyber-Physical Energy Systems (CPEs) by GTST-MLD","","2021","","","98-102","IEEE; IEEE Reliabil Soc, Italian Chapter","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2021 5TH INTERNATIONAL CONFERENCE ON SYSTEM RELIABILITY AND SAFETY (ICSRS 2021)","2021","9781665400497","","","http://dx.doi.org/10.1109/ICSRS53853.2021.9660671","10.1109/ICSRS53853.2021.9660671","Cyber-Physical Energy systems (CPEs) are highly connected and remotely controlled systems for energy production, transmission and distribution. Failures of CPEs can occur in both their cyber and physical parts and may, in both cases, result in significant economic losses, service interruption and, even threats to the environment and the population. Traditionally, safety and security of CPEs are addressed separately, the former dealing with failures in the physical part, the latter with breaches in the cyber part. While physical aging is often accounted for, it is not for the cyber elements although it may have an impact on CPEs controllability, stability and, ultimately, reliability. In this paper, we propose a dynamic reliability assessment framework that embeds a multi-state cyber aging model of literature into a Goal Tree Success Tree-Master Logic Diagram (GTST-MLD) that accounts for both stochastic hardware components failures and cyber aging that may open breaches for cyber attacks to the control system. The digital Instrumentation and Control (I&C) system of the Advanced Lead-cooled Fast Reactor European Demonstrator (ALFRED) is considered as an example to show the applicability of the GTST-MLD based dynamic reliability assessment method proposed.","Cyber-Physical Energy system (CPEs); reliability; cyber aging; Goal Tree Success Tree (GTST); Master Logic Diagram (MLD); Digital Instrumentation and Control (I&C); Advanced Lead-cooled Fast Reactor European Demonstrator (ALFRED)","5th International Conference on System Reliability and Safety (ICSRS), Palermo, ITALY, NOV 24-26, 2021","Hao, ZJ (Corresponding Author), Politecn Milan, Energy Dept, Milan, Italy. Hao, Zhaojun; Di Maio, Francesco; Zio, Enrico, Politecn Milan, Energy Dept, Milan, Italy. Zio, Enrico, PSL Univ Paris, MINES ParisTech, Ctr Rech Risques & Crises CRC, Sophia Antipolis, France.","English",""
