,id,title,authors,doi,link,pub_year,type,abstract,source,pub_title
2385,2386,"Multimodal Biometric Authentication Algorithm Using Iris, Palm Print, Face and Signature with Encoded DWT","Sujatha, E. (57196457623); Chilambuchelvan, A. (14631498800)",10.1007/s11277-017-5034-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033382978&doi=10.1007%2fs11277-017-5034-1&partnerID=40&md5=00fe89662ba9f28859933379d776ab36,2018,Article,"A multimodal biometric system is applied to recognize individuals as authentication, identification and verification for claimed identity. Multimodal biometrics increases the security level accura...",Scopus,Wireless Personal Communications
2388,2389,Cryptographic key generation from multimodal template using fuzzy extractor,"Kaur, Taranpreet (57213122556); Kaur, Manvjeet (56045999600)",10.1109/IC3.2017.8284321,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046346676&doi=10.1109%2fIC3.2017.8284321&partnerID=40&md5=c35917f696cf162feee3b927e99c9271,2018,Conference paper,"The encryption techniques, biometrics and cryptography integrate to form biometric cryptosystems. These are designed either to bind a cryptographic key or to generate cryptographic key using biome...",Scopus,"2017 10th International Conference on Contemporary Computing, IC3 2017"
2413,2414,Virtual teach pendant interface for android cellphones (VTPAC),"Ferri, Giulia A. (57205502343); Walter, Scott E. (57205501206); Tennakoon, Asiri (57205507876); Djuric, Ana M. (55178652700)",10.1115/IMECE2018-86865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060312054&doi=10.1115%2fIMECE2018-86865&partnerID=40&md5=3ce3ad00d018fe211adbe9a58cf9119a,2018,Conference paper,The objective of this research is to develop a Virtual Teach Pendant for Android Cellphones (VTPAC) that is able to communicate with the robot model in the Visual Components software [11 [2]. The ...,Scopus,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)"
2472,2473,Person tracking association using multi-modal systems,"Belmonte-Hernandez, A. (57194728886); Solachidis, V. (6603350936); Theodoridis, T. (57197852284); Hernandez-Penaloza, G. (42261720800); Conti, G. (57213412858); Vretos, N. (13408103200); Alvarez, ...",10.1109/AVSS.2017.8078529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039924064&doi=10.1109%2fAVSS.2017.8078529&partnerID=40&md5=604498d52497262d0027c70a2c2fe3e7,2017,Conference paper,"In this paper, a novel multi-modal method for person identification in indoor environments is presented. This approach relies on matching the skeletons detected by a Kinect v2 device with wearable...",Scopus,"2017 14th IEEE International Conference on Advanced Video and Signal Based Surveillance, AVSS 2017"
2485,2486,Voltage Security Assessment by Using PFDT and CBR Methods in Emerging Power System,"Nandanwar, S.R. (57192422301); Kolhe, M.L. (55370084800); Warkad, S.B. (55180689200); Patidar, N.P. (15924117500); Singh, V.K. (56074953000)",10.1016/j.egypro.2018.06.023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051318868&doi=10.1016%2fj.egypro.2018.06.023&partnerID=40&md5=ef5bd38814c486aee4477a13c22b728d,2018,Conference paper,This paper exhibits varied methods for voltage security assessment in a restructured power system. This paper primarily lays emphasis on two methods that are Probabilistic Fuzzy Decision Tree (PFD...,Scopus,Energy Procedia
2628,2629,Managing intellectual property in a music fruition environment,"Barate, Adriano (14031183900); Haus, Goffredo (8684305900); Ludovico, Luca A. (8684305800); Perlasca, Paolo (6508116272)",10.1109/MMUL.2015.92,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969677913&doi=10.1109%2fMMUL.2015.92&partnerID=40&md5=21fbbca9d19369ad90fdaf224a47c6db,2016,Article,"With the advent of the digital age and the spread of portable digital audio players, interest in software and hardware tools that can help producers and distributors enhance and revive their catal...",Scopus,IEEE Multimedia
2641,2642,Multimodal biometrics for improvised security,"Arora, Garima (57191037120); Pavani, P. Lakshmi (57191033976); Kohli, Rashi (56828926500); Bibhu, Vimal (56521523700)",10.1109/ICICCS.2016.7542312,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985946721&doi=10.1109%2fICICCS.2016.7542312&partnerID=40&md5=28f4c63c4f97b2b8fd10177255a98b52,2016,Conference paper,"Biometrics simply means to recognise a person based on his behavioural or physiological characteristics. With this, we can establish an individual on the basis of who the person is, rather than wh...",Scopus,"2016 1st International Conference on Innovation and Challenges in Cyber Security, ICICCS 2016"
2708,2709,"The first large area, high X-ray energy phase contrast prototype for enhanced detection of threat object in baggage screening","Astolfo, Alberto (55985279700); Endrizzi, Marco (35067989100); Price, Benjamin (15069830500); Haig, Ian (56024784800); Olivo, Alessandro (7004072469)",10.1117/12.2239556,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008229667&doi=10.1117%2f12.2239556&partnerID=40&md5=50120018452a20c250bc3b735e231a59,2016,Conference paper,X-ray imaging is the most commonly used method in baggage screening. Conventional x-ray attenuation (usually in dual-energy mode) is exploited to discriminate threat and non-Threat materials: This...,Scopus,Proceedings of SPIE - The International Society for Optical Engineering
2737,2738,Multimodal Fingerprint Spoof Detection Using White Light,"Balaji, Aadhithya (58349040000); Varun, H.S. (57191280463); Sikha, O.K. (55437853400)",10.1016/j.procs.2016.02.066,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988663714&doi=10.1016%2fj.procs.2016.02.066&partnerID=40&md5=2ea2c8c09427b77965a5ac8b4aaade9e,2016,Conference paper,"Advancement in technology has increased the need to provide adequate security. Hence came the first security system using passwords, these systems have evolved and started using biometrics traits ...",Scopus,Procedia Computer Science
2814,2815,Hand based multibiometric authentication using local feature extraction,"Bhaskar, Bhagya (57212754453); Veluchamy, S. (6506644033)",10.1109/ICRTIT.2014.6996136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921047418&doi=10.1109%2fICRTIT.2014.6996136&partnerID=40&md5=8e107e05bc8cb8e85ce8285ce286bc11,2014,Conference paper,"Biometrics has wide applications in the fields of security and privacy. Since unimodal biometrics are subjected to various problems regarding recognition and security, multimodal biometrics have b...",Scopus,"2014 International Conference on Recent Trends in Information Technology, ICRTIT 2014"
2902,2903,Novel mixture model-based approaches for person verification using multimodal biometrics,"Raghavendra, R. (57218667948)",10.1007/s11760-012-0294-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881544631&doi=10.1007%2fs11760-012-0294-4&partnerID=40&md5=22b8fcfbcb5e577fc4884934a22b20e7,2013,Article,"With growing concerns about security, the world over, biometric-based person verification is gaining more and more attention. Recently, multimodal biometric has attracted increasing focus among re...",Scopus,"Signal, Image and Video Processing"
2940,2941,"The integration of diversely redundant designs, dynamic system models, and state estimation technology to the cyber security of physical systems","Horowitz, Barry M. (7101607874); Pierce, Katherine M. (55539605400)",10.1002/sys.21239,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886097175&doi=10.1002%2fsys.21239&partnerID=40&md5=1cb38bd72fb7f27bbb8b0194cd7ac9a7,2013,Article,"As exemplified in the 2010 Stuxnet attack on Iranian nuclear facilities, cyber attackers have capabilities to embed disruptive infections into equipment that is employed within physical systems. T...",Scopus,Systems Engineering
2974,2975,Approach to security attack pattern networks on the basis of bayesian networks,"Xu, Chao (56547706400); Xu, Guangquan (22981884000); Li, Xiaohong (57022407900); Feng, Zhiyong (56984876600); Meng, Zhaopeng (7201894900)",10.12785/amis/071L32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896819676&doi=10.12785%2famis%2f071L32&partnerID=40&md5=2b132efd6003bb9ddff51639dbc7e15c,2013,Article,Researchers are becoming more and more interested in the security issues of software engineering. It will effectively reduce the cost of development and maintenance in order to detect and predict ...,Scopus,Applied Mathematics and Information Sciences
2990,2991,Multi-view multi-modal gait based human identity recognition from surveillance videos,"Hossain, Emdad (36473316000); Chetty, Girija (14008859700); Goecke, Roland (22234389600)",10.1007/978-3-642-37081-6_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875185983&doi=10.1007%2f978-3-642-37081-6_11&partnerID=40&md5=31d0c98fa7c85e0502808815b22f802c,2013,Conference paper,"In this paper we propose a novel human-identification scheme from long range gait profiles in surveillance videos. We investigate the role of multi view gait images acquired from multiple cameras,...",Scopus,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
2994,2995,Normalizing Cross-Border Healthcare in Europe via New E-Prescription Paradigms,"Berler, Alexander (6602221253); Apostolakis, Ioannis (23988724600)",10.4018/978-1-4666-4321-5.ch011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937473562&doi=10.4018%2f978-1-4666-4321-5.ch011&partnerID=40&md5=0cd6e339c386e9bdd6605a5262333d04,2013,Book chapter,The 21st century started with some significant efforts globally in the e-health sector. This was mainly pushed as a generic strategy from many nations and international organizations in order to c...,Scopus,Research Perspectives on the Role of Informatics in Health Policy and Management
3036,3037,A robust multimodal biometric security system using the polynomial curve technique within Shamir's secret sharing algorithm,"Aldosary, Saad (57216820874); Howells, Gareth (35565062100)",10.1109/EST.2012.9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869457056&doi=10.1109%2fEST.2012.9&partnerID=40&md5=31acd438125f356b405b8d9b656d3745,2012,Conference paper,"This paper investigates the application of secret sharing technology to allow an encryption key to be derived from multimodal biometric samples. Within the proposed scheme, individual points on a ...",Scopus,"Proceedings - 3rd International Conference on Emerging Security Technologies, EST 2012"
3096,3097,Visual cryptography for MMBS of wireless images for ATM banking,"Koteswari, S. (56373648800); John Paul, P. (57198177603); Indrani, S. (56373860600)",10.1049/cp.2012.2539,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907521758&doi=10.1049%2fcp.2012.2539&partnerID=40&md5=4c62174029d6cb852a55c5cc29b25cdd,2012,Conference paper,"Security plays a very important role in one's life. Due to the limitations imposed by real time applications, its very challenging deal to get the accurate identification of the person to access s...",Scopus,IET Conference Publications
3098,3099,Vitality detection from biometrics: State-of-the-art,"Singh, Yogendra Narain (56237029000); Singh, Sanjay Kumar (57413852300)",10.1109/WICT.2011.6141226,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863136569&doi=10.1109%2fWICT.2011.6141226&partnerID=40&md5=a504c2e8300e52e7fd93931abc447324,2011,Conference paper,"Biometric authentication systems have become the basis of trust to human society from the beginning of last decade, but the security of the system can be breached by presenting a non-live or fake ...",Scopus,"Proceedings of the 2011 World Congress on Information and Communication Technologies, WICT 2011"
3132,3133,Cooperative neural network background model for multi-modal video surveillance,"Wang, Zhiming (7410039211); Hong, Bao (57206299568)",10.1109/CIS.2011.63,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863077062&doi=10.1109%2fCIS.2011.63&partnerID=40&md5=f700d78ad47deac434fe4ee3d9374b3f,2011,Conference paper,"This paper proposed a new cooperative background model for multi-modal video surveillance based on probability neural network (PNN). Firstly, probability of being foreground was estimated in visib...",Scopus,"Proceedings - 2011 7th International Conference on Computational Intelligence and Security, CIS 2011"
3135,3136,User-friendly security robots,"Randelli, Gabriele (34267805500); Iocchi, Luca (6602922345); Nardi, Daniele (7006582655)",10.1109/SSRR.2011.6106788,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855835559&doi=10.1109%2fSSRR.2011.6106788&partnerID=40&md5=280babdcfa3bf66d95a23d3d770525ac,2011,Conference paper,"Robotic systems are today capable of performing patrolling and surveillance tasks in indoor structured environments. However, they need to be designed by taking into account the operational enviro...",Scopus,"9th IEEE International Symposium on Safety, Security, and Rescue Robotics, SSRR 2011"
3191,3192,Attack against robust watermarking-based multimodal biometric recognition systems,"Hämmerle-Uhl, Jutta (25421752000); Raab, Karl (36237179800); Uhl, Andreas (7005841206)",10.1007/978-3-642-19530-3_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952912965&doi=10.1007%2f978-3-642-19530-3_3&partnerID=40&md5=98862f6f49dedbb1e4162ae179746208,2011,Conference paper,Several multimodal biometric schemes have been suggested in literature which employ robust watermarking in order to embed biometric template data into biometric sample data. In case robust embeddi...,Scopus,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
3246,3247,New fully functioning digital hologram recording system and its applications,"Kang, Der-Kuan (7402889460); Alcaraz Rivera, Miguel (15830931600); Báez-Rojas, José J. (55989692200); Cruz-López, María-Luisa (57783764700)",10.1117/1.3497068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051760211&doi=10.1117%2f1.3497068&partnerID=40&md5=37cb596ff58eb1b7e150c2a3de8e812c,2010,Article,"We propose a low-cost optical system that is able to simply generate computer-generated holograms and rainbow type and true-color Lippmann type holograms. In this system, a microimaging system is ...",Scopus,Optical Engineering
3252,3253,Integrating palmprint and fingerprint for identity verification,"Chin, Yong Jian (35241832300); Ong, Thian Song (55665240800); Goh, Michael K.O. (36117903000); Hiew, Bee Yan (16244988100)",10.1109/NSS.2009.25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72849137045&doi=10.1109%2fNSS.2009.25&partnerID=40&md5=a1c7c7ec197fd6bdd62ca3b57669d507,2009,Conference paper,"In this paper, we propose a multimodal biometrics system that combines fingerprint and palmprint features to overcome several limitations of unimodal biometrics - such as the inability to tolerate...",Scopus,NSS 2009 - Network and System Security
3263,3264,Enhancing DoDAF with a HCPN executable model to support validation,"Ni, Feng (35729312300); Wang, Ming-Zhe (56139174900); Liao, Jing-Jing (35757761400); Zhou, Jing-Dan (35758144900)",10.1109/ISCID.2009.217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649333464&doi=10.1109%2fISCID.2009.217&partnerID=40&md5=d644b39ac63956ec69ba96bfa89b4ee2,2009,Conference paper,"Department of Defense Architecture Framework (DoDAF) as a common integrated system architecture specification has already gained the widespread acceptance in the world. However, the limitations of...",Scopus,ISCID 2009 - 2009 International Symposium on Computational Intelligence and Design
3266,3267,Safety analysis of helicopter models using timed automata hybrid systems,"Sutarto, H.Y. (17435994800); Megawati, N.Y. (35795741400); Salmah (25923560200); Suparwanto, A. (35796578500); Joelianto, E. (17434540100); Wijayanti, I.E. (16053675900); Budiyono, A. (26323497100...",10.1109/ICICI-BME.2009.5417220,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950944049&doi=10.1109%2fICICI-BME.2009.5417220&partnerID=40&md5=f899be165d8d54aff1a35510dfd9bd25,2009,Conference paper,"A mini scale helicopter poses complex dynamics and is difficult to control. Compared to its full size counterparts, the model of mini scale helicopter exhibits not only increased sensitivity to co...",Scopus,"International Conference on Instrumentation, Communication, Information Technology, and Biomedical Engineering 2009, ICICI-BME 2009"
3436,3437,On dynamic and concurrent model of web service components,"Zhu, Junwu (55704615100); Wang, Jiandong (55885593500); Li, Bin (36072005200)",10.1109/CSCWD.2007.4281498,https://www.scopus.com/inward/record.uri?eid=2-s2.0-47649129469&doi=10.1109%2fCSCWD.2007.4281498&partnerID=40&md5=0c20415dc9be94bd288f1ac3c39a8856,2007,Conference paper,"The current researches of Web service fasten on composition process, and are lack of the formalized description on dynamic attributes of service component itself. Aiming to these, a new dynamic an...",Scopus,"Proceedings of the 2007 11th International Conference on Computer Supported Cooperative Work in Design, CSCWD"
3445,3446,Voltage security assessment and optimal load shedding of power system using the case-based reasoning approach,"Patidar, N.P. (15924117500); Sharma, Jaydev (7402613473)",10.1504/IJRS.2008.020770,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651565424&doi=10.1504%2fIJRS.2008.020770&partnerID=40&md5=54fb05775d9841fea89990f4aa91af65,2008,Article,"This paper presents the case-based reasoning (CBR) technique, a novel approach for voltage security assessment and optimal load shedding plan in a real time environment. CBR extracts the informati...",Scopus,International Journal of Reliability and Safety
3458,3459,Incremental checkpointing with application to distributed discrete event simulation,"Feng, Thomas Huining (20435527100); Lee, Edward A. (7406967883)",10.1109/WSC.2006.323188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-46149084477&doi=10.1109%2fWSC.2006.323188&partnerID=40&md5=2977afca03af57b9a73db99db63d2abc,2006,Conference paper,Checkpointing is widely used in robust fault-tolerant applications. We present an efficient incremental checkpointing mechanism. It requires to record only the state changes and not the complete s...,Scopus,Proceedings - Winter Simulation Conference
3470,3471,Finite state machine IP watermarking: A tutorial,"Abdel-Hamid, Amr T. (8532443100); Tahar, Sofiène (35584065000); Aboulhamid, El Mostapha (6701773664)",10.1109/AHS.2006.40,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845574341&doi=10.1109%2fAHS.2006.40&partnerID=40&md5=4cd11781ce90bc27866a1386dbb79cd8,2006,Conference paper,"Sharing Intellectual Property (IP) blocks In today's competitive market poses significant high security risks. In this paper, we present a tutorial for a watermarking approach based on the embeddi...",Scopus,"Proceedings - First NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2006"
3630,3631,Denial of Service: An Example,"Needham, Roger M. (7005873732)",10.1145/188280.188294,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028532812&doi=10.1145%2f188280.188294&partnerID=40&md5=b712b50db2e4b6491db8d80d2ffa7a43,1994,Article,[No abstract available],Scopus,Communications of the ACM
3640,3641,Continuous variable quantum key distribution with multi-mode signals for noisy detectors,"Kumar R,Tang X,Wonfor A,Penty R,White I",10.1364/JOSAB.36.00B109,http://dx.doi.org/10.1364/JOSAB.36.00B109,2019,Journal Article,"This paper proposes a multi-mode Gaussian modulated continuous variable quantum key distribution (CV-QICD) scheme able to operate at high bandwidth despite using conventional noisy, coherent detec...",Web of Science,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS
3666,3667,Interconnection networks: Architectural challenges for utility computing data centers,"Lysne O,Reinemo SA,Skeie T,Solheim AG,Sodring T,Huse LP,Johnsen BD",10.1109/MC.2008.391,http://dx.doi.org/10.1109/MC.2008.391,2008,Journal Article,"Although academic interest in computational grids may have peaked, it spawned awareness of a new operational mode for computational data centers, utility computing. In this mode, the system assign...",Web of Science,COMPUTER
3682,3683,Binary Tree Encryption with Constant-Size Public Key in the Standard Model,"Feng S,Gong J,Chen J",10.1093/comjnl/bxaa194,http://dx.doi.org/10.1093/comjnl/bxaa194,2022,Journal Article,"Binary tree encryption is an intriguing primitive that enables many practical applications to achieve an increasing important security feature, forward security. However, the public key size of ex...",Web of Science,COMPUTER JOURNAL
3719,3720,Blockchain based Secured Virtual Machine Image Monitor,"Basu S,Karmakar S,Bera D",10.5220/0010228804320439,http://dx.doi.org/10.5220/0010228804320439,2021,Conference Paper,"Blockchain technology supports data immutability. Whereas, smart contracts are piece of self-executable codes running inside the blockchain network, responsible for the transformation or state cha...",Web of Science,ICISSP: PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS SECURITY AND PRIVACY
3775,3776,Principled Data-Driven Decision Support for Cyber-Forensic Investigations,"Atefi, Soodeh (57219493916); Panda, Sakshyam (57203006852); Panaousis, Emmanouil (34877407700); Laszka, Aron (57294198700)",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167867971&partnerID=40&md5=7cc282d0b7bfbc64eceb94be8242497a,2023,Conference paper,"In the wake of a cybersecurity incident, it is crucial to promptly discover how the threat actors breached security in order to assess the impact of the incident and to develop and deploy counterm...",Scopus,"Proceedings of the 37th AAAI Conference on Artificial Intelligence, AAAI 2023"
3799,3800,A method of hidden faults opposition for FPGA-based components of safety-related systems,"Drozd, Oleksandr (55388226700); Romankevich, Vitaliy (57193263058); Romankevich, Alexei (6602114176); Kuznietsov, Mykola (56021496100); Drozd, Myroslav (56667174000)",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085481021&partnerID=40&md5=03336e04fcda3685172cf7b272be8b50,2020,Conference paper,"The paper is devoted to the problem of hidden faults, which is inherent in safety-related systems aimed at ensuring the functional safety of high-risk facilities to counter accidents. The problem ...",Scopus,CEUR Workshop Proceedings
3888,3889,A formal downgrading policy framework for the secure sharing of mission sensitive data and services,"Skoutaris, Eleftherios (41262418600); Fischer, Daniel (56804364200); Engel, Thomas (17434157900)",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901248170&partnerID=40&md5=897030643d2e627ad9bf4f6a25f21bfc,2014,Conference paper,"Formal specification and visual modeling languages are used to precisely describe a system's state or its evolving behavior (e.g., data computations specified as state-changes). In terms of securi...",Scopus,"13th International Conference on Space Operations, SpaceOps 2014"
4015,4016,Tests of robustness of GMM speaker verification in VoIP telephony,"Staroniewicz, Piotr (11142100200)",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39649086499&partnerID=40&md5=66e224bfd89811b573045fe884e4a83b,2007,Conference paper,The paper presents the scores of the GMM (Gaussian Mixture Models) based speaker verification system for speech signal transmitted in VoIP (Voice over IP) telephony conditions. The speaker verific...,Scopus,Archives of Acoustics
4052,4053,The formal modelling and verification of safety critical ATP software design,"Yan, F. (57198405519); Tang, T. (34973410200)",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903388956&partnerID=40&md5=e4db63bdeb20e460010de7ebd23b4dd4,2005,Conference paper,The safety of software is becoming increasingly important as computers pervade control systems on which human life depends. This has become more complex and in rail transportation fields and the m...,Scopus,WIT Transactions on the Built Environment
4068,4069,Monotonicity and partial results protection for mobile agents,"Yee, Bennet (7006955686)",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038305265&partnerID=40&md5=aac9d90037194cc1212e2f3d3671f4c6,2003,Conference paper,"Remotely executing mobile code introduces a plethora of security problems. This paper examines the ""external agent replay"" attack, identifies the notion of one-way program state transitions, descr...",Scopus,Proceedings - International Conference on Distributed Computing Systems
4077,4078,International aerial robotics competition 2004,"Holifield, Nicholas (8601590300); Lallinger, Justin (8886003800); Underwood, Garrett (8601590200)",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-21644463723&partnerID=40&md5=c9682d46829a0ace506312a3729a3a58,2004,Conference paper,The University of Texas at Austin IEEE Robot Team has prepared an entry to the 2004 International Aerial Robotics Competition. The team aims to demonstrate autonomous forward flight and navigation...,Scopus,AUVSI's Unmanned Systems North America 2004 - Proceedings
4142,4143,Power Consumption Aware Software Architecture for M-Health Applications with Adaptive Security of Network Protocols,"Ciric V,Zlatanovic J,Milovanovic E,Stojanovic N",,,2015,Conference Paper,"The goal of this paper is development of software architecture for mobile devices, which is able to trade-off between security levels and power consumption. The analysis of the influence of differ...",Web of Science,"2015 12TH INTERNATIONAL CONFERENCE ON TELECOMMUNICATIONS IN MODERN SATELLITE, CABLE AND BROADCASTING SERVICES (TELSIKS)"
4147,4148,Security Policy Transition Framework for Software Defined Networks,"Cox Jr JH,Clark RJ,Owen HL",,,2016,Conference Paper,Controllers for software defined networks (SDNs) are quickly maturing to offer network operators more intuitive programming frameworks and greater abstractions for network application development....,Web of Science,2016 IEEE CONFERENCE ON NETWORK FUNCTION VIRTUALIZATION AND SOFTWARE DEFINED NETWORKS (NFV-SDN)
4150,4151,Research on Measures for Computer Application System Security Technology Strengthening,Xi G,,,2016,Conference Paper,"With the continuous development of science and technology, in particular of information technology, network information technology is applied in daily production and life more and more widely, and...",Web of Science,"PROCEEDINGS OF THE 2016 6TH INTERNATIONAL CONFERENCE ON MACHINERY, MATERIALS, ENVIRONMENT, BIOTECHNOLOGY AND COMPUTER (MMEBC)"
4302,4303,TCP-Fuzz: Detecting Memory and Semantic Bugs in TCP Stacks with Fuzzing,"Zou YH,Bai JJ,Zhou J,Tan J,Qin C,Hu SM",,,2021,Conference Paper,"TCP stacks provide reliable data transmission in network, and thus they should be correctly implemented and well tested to ensure reliability and security. However, testing TCP stacks is difficult...",Web of Science,PROCEEDINGS OF THE 2021 USENIX ANNUAL TECHNICAL CONFERENCE
4324,4325,Formal Specification and Verification of wireless networked self-organized Systems on Chip,"Daoud H,Tanougast C,Belarbi M,Heil M",,,2014,Conference Paper,"Communication in networked systems must be reliable during run time data exchanges. Therefore, their specifications and designs must be clear, understandable and follow specific rules. Indeed, the...",Web of Science,"2014 INTERNATIONAL CONFERENCE ON CONTROL, DECISION AND INFORMATION TECHNOLOGIES (CODIT)"
